nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
20 4 2000 300 91265 94999 128217 622539 102230.716 28334.517
20 8 2000 300 161020 167553 231552 1357845 179411.671 50669.765
20 12 2000 300 231019 242694 339690 1022584 255830.048 51518.723
20 16 2000 300 300894 318406 450566 1273887 332473.154 60802.770
20 20 2000 300 370852 392776 485619 1504852 403336.341 51420.143
40 8 2000 300 161122 170546 180158 845285 172869.519 21467.571
40 16 2000 300 301140 323290 346734 813303 325575.673 25579.464
40 24 2000 300 441181 474307 499346 743809 477328.897 22295.624
40 32 2000 300 582521 670098 712863 1649043 666637.927 45415.567
40 40 2000 300 720447 777548 823908 1841070 782435.458 57301.089
60 12 2000 300 231186 248626 270156 729957 252806.432 28737.071
60 24 2000 300 440769 475434 561399 1588730 485400.013 47239.809
60 36 2000 300 650379 705060 836454 1346475 718581.173 58917.842
60 48 2000 300 862177 997239 1134572 2131726 994946.998 81698.967
60 60 2000 300 1071018 1158863 1225119 1858355 1162345.566 57930.957
80 16 2000 300 300791 326598 342123 706811 329281.165 19194.189
80 32 2000 300 581029 632467 662385 1232244 634852.502 25387.250
80 48 2000 300 861866 931489 1037756 2056433 939508.213 60718.161
80 64 2000 300 1141142 1237872 1396503 2945213 1253010.225 83556.504
80 80 2000 300 1423340 1546718 1642524 4139299 1557589.295 98672.106
100 20 2000 300 370915 401519 423231 1009748 404833.229 32484.122
100 40 2000 300 721528 784415 817023 1774484 786077.867 36024.702
100 60 2000 300 1071252 1162650 1338304 2268899 1180886.819 85755.656
100 80 2000 300 1429686 1549576 1678797 2311386 1562681.929 68859.923
100 100 2000 300 1777687 1932330 2021981 3124343 1938110.505 84405.950
