nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
20 4 2000 300 361859 406408 517164 3984571 419079.807 98796.035
20 8 2000 300 366025 380775 526790 1313085 400103.944 66113.495
20 12 2000 300 370915 386258 523801 1312436 405582.107 71220.602
20 16 2000 300 375446 394817 510867 1172477 410708.331 66077.634
20 20 2000 300 379828 402509 526754 1938052 417718.182 65105.930
40 8 2000 300 733090 780132 834674 1751805 787197.230 52329.879
40 16 2000 300 751186 799993 839609 1650975 804942.658 44713.434
40 24 2000 300 769211 824181 870457 1583598 830037.100 43266.476
40 32 2000 300 786362 845003 885485 2180539 849814.673 58180.036
40 40 2000 300 807846 884612 971228 1852989 903248.005 64253.581
60 12 2000 300 1113342 1191568 1314236 2416092 1202847.045 69783.037
60 24 2000 300 1153302 1241585 1415941 2548121 1262361.026 91504.357
60 36 2000 300 1195684 1283968 1441304 2210794 1301353.462 85367.630
60 48 2000 300 1234499 1332270 1497047 2994607 1349227.727 86687.310
60 60 2000 300 1275249 1377799 1495552 2616583 1384003.009 75850.755
80 16 2000 300 1507629 1628441 1683608 2278000 1627723.422 45640.754
80 32 2000 300 1585010 1707033 1804049 7439645 1718337.784 149038.346
80 48 2000 300 1657339 1832250 1996262 3242803 1859779.301 111391.938
80 64 2000 300 1717587 1862210 2031128 3568248 1882528.650 91439.034
80 80 2000 300 1801243 1966317 2228887 3251718 2008132.945 120264.518
100 20 2000 300 1907155 2060119 2154083 3491982 2064313.250 85526.810
100 40 2000 300 2018637 2181735 2288872 4698199 2187029.285 108773.703
100 60 2000 300 2131850 2340735 2590081 3840212 2388215.226 137628.336
100 80 2000 300 2257127 2432894 2648856 3996895 2460096.263 115221.183
100 100 2000 300 2364394 2572046 2821492 3766425 2616260.008 128943.294
