nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
20 4 2000 300 112008 118854 146548 422002 123391.920 16415.780
20 8 2000 300 176544 185808 221690 746514 193509.266 39825.661
20 12 2000 300 239211 253734 319666 911188 266205.380 54354.573
20 16 2000 300 303395 326574 436228 1310836 342143.399 70173.059
20 20 2000 300 374512 403692 566115 1648509 421498.765 73788.766
40 8 2000 300 175265 185567 236333 1196409 194644.364 43465.954
40 16 2000 300 304227 331536 374781 861439 335630.036 30384.389
40 24 2000 300 436676 479558 531018 1929294 484086.064 51250.571
40 32 2000 300 574232 618296 710918 1459052 628060.925 55040.744
40 40 2000 300 687516 744048 970304 1711104 766031.076 88923.930
60 12 2000 300 241499 261844 299242 545105 265845.158 20695.156
60 24 2000 300 443354 486467 581718 1071904 496471.244 57173.683
60 36 2000 300 627773 681626 775182 1988819 696663.630 61806.843
60 48 2000 300 822091 908067 952842 1649750 910412.728 47809.593
60 60 2000 300 1010462 1094853 1311405 3905782 1115416.139 114508.025
80 16 2000 300 302939 331259 348474 593673 332406.849 16453.388
80 32 2000 300 561433 613412 648688 1107509 615132.005 22506.456
80 48 2000 300 840349 909617 1057707 2133155 924101.946 76836.756
80 64 2000 300 1078470 1171717 1300344 2348964 1184564.840 76701.446
80 80 2000 300 1329965 1456760 1535132 2619045 1460910.314 63176.673
100 20 2000 300 367483 398201 440573 997024 406632.983 44506.778
100 40 2000 300 687614 746948 858675 3332445 762158.609 109789.333
100 60 2000 300 1009735 1102265 1163315 1811732 1107782.271 50028.938
100 80 2000 300 1336256 1451458 1682410 3934118 1478258.459 116922.224
100 100 2000 300 1654041 1807753 1895184 3405303 1820265.972 103744.296
