nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
20 4 2000 300 335709 354506 443153 1196150 369154.669 57198.432
20 8 2000 300 401878 429494 591786 1754925 451517.644 75778.041
20 12 2000 300 471166 503801 629945 1584497 524262.034 78024.765
20 16 2000 300 551383 599841 761173 1634905 622164.974 83513.060
20 20 2000 300 608471 654731 891028 1713873 681723.639 97738.444
40 8 2000 300 588881 645299 808548 1592628 664605.160 79228.725
40 16 2000 300 751230 839185 916671 2070993 844166.842 66175.008
40 24 2000 300 911376 1002311 1150266 2050670 1014774.266 81432.032
40 32 2000 300 1052710 1151062 1311655 2306257 1166198.850 94633.094
40 40 2000 300 1216486 1315503 1590414 2313052 1340485.745 112847.604
60 12 2000 300 872472 969190 1278804 1723676 1003935.894 116909.768
60 24 2000 300 1126060 1228388 1345100 2077127 1238713.299 71668.837
60 36 2000 300 1379861 1515140 1625803 2880909 1528378.106 81463.467
60 48 2000 300 1640178 1800963 2043237 2677382 1823079.367 105831.821
60 60 2000 300 1914820 2102582 2322313 3054275 2117811.369 96666.151
80 16 2000 300 1155620 1263239 1345804 2529247 1270403.347 65245.633
80 32 2000 300 1545535 1681132 1766104 2830649 1687678.253 77218.851
80 48 2000 300 1909372 2079336 2366220 4606267 2123665.161 167663.454
80 64 2000 300 2311841 2545251 2682174 3548936 2552804.314 96803.109
80 80 2000 300 2716754 2983318 3324813 5723128 3022076.084 189942.574
100 20 2000 300 1468177 1599012 1838063 6134226 1632898.688 161296.216
100 40 2000 300 2004750 2214314 2358255 3061205 2223090.672 95740.367
100 60 2000 300 2513557 2735287 3011179 4449293 2773182.285 152800.620
100 80 2000 300 3022775 3287986 3500058 5261621 3306850.577 156123.508
100 100 2000 300 3601496 4063569 4601986 5998003 4118157.627 251833.054
