nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
20 4 2000 300 114185 121317 138115 254489 124976.996 10818.910
20 8 2000 300 174712 192936 211405 568628 193424.212 22050.215
20 12 2000 300 234091 247718 322388 1119416 260785.541 54165.925
20 16 2000 300 294804 312400 421925 1575515 328268.822 67460.808
20 20 2000 300 361947 389761 536715 1432899 407261.690 72343.314
40 8 2000 300 175048 188485 242513 1223594 197746.678 49715.667
40 16 2000 300 297001 324329 365422 894941 328110.654 31372.058
40 24 2000 300 425088 474423 516101 765971 478940.031 27406.217
40 32 2000 300 552510 601756 698479 2012602 610966.770 64604.712
40 40 2000 300 660949 717831 923579 1432051 736319.261 85489.695
60 12 2000 300 239320 257839 301861 1179301 266445.421 49176.885
60 24 2000 300 429976 465877 669869 1190794 487596.193 78854.746
60 36 2000 300 600417 667055 721888 1462506 668139.795 52908.045
60 48 2000 300 790428 858761 916715 1798071 864017.237 50340.539
60 60 2000 300 965459 1049025 1257639 2834763 1066589.519 85850.155
80 16 2000 300 299352 324158 346522 825077 326435.601 19901.449
80 32 2000 300 543025 594555 631520 1461197 596755.242 37132.912
80 48 2000 300 791425 875352 926119 1723484 879071.256 50359.993
80 64 2000 300 1029874 1116748 1257364 2997244 1135852.175 102714.866
80 80 2000 300 1270181 1388887 1467653 3293510 1396968.032 95027.255
100 20 2000 300 365856 404024 467998 1592713 415975.970 68366.838
100 40 2000 300 663910 721871 898960 1838556 737254.219 78071.548
100 60 2000 300 968021 1057166 1100160 2018556 1058973.847 48041.973
100 80 2000 300 1306601 1422046 1656438 2685755 1446061.582 108405.836
100 100 2000 300 1606650 1767849 1867409 5006844 1776511.426 142448.743
