nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
20 4 2000 300 116708 124591 154107 691820 130599.427 25708.212
20 8 2000 300 181251 191659 234316 543821 200757.332 36526.804
20 12 2000 300 243921 262648 292283 1241226 269154.596 38330.907
20 16 2000 300 314028 340878 465563 1143891 358782.344 61456.350
20 20 2000 300 371742 399763 586093 2123422 419796.422 91589.943
40 8 2000 300 181365 195164 240512 854615 203595.380 41676.575
40 16 2000 300 310245 334407 385001 1316808 341313.582 48141.317
40 24 2000 300 442885 484931 538080 1222270 488177.260 38172.640
40 32 2000 300 565655 616629 700615 1744571 627865.678 60656.602
40 40 2000 300 694178 752815 898318 1494220 768564.252 76344.592
60 12 2000 300 249217 269181 356725 855406 281172.263 52010.490
60 24 2000 300 447267 497502 559850 1022394 504231.925 44043.564
60 36 2000 300 653648 698320 784970 1478694 710151.738 45075.926
60 48 2000 300 848872 919311 1021307 1674334 929585.046 57857.540
60 60 2000 300 1018120 1123671 1348847 2027516 1138509.393 90305.985
80 16 2000 300 312627 342040 353092 500802 341426.100 11786.373
80 32 2000 300 572954 623573 667594 997606 626609.655 32060.340
80 48 2000 300 825510 902150 1104539 2249860 921541.233 90579.654
80 64 2000 300 1090357 1188315 1277247 2466598 1196556.229 65276.564
80 80 2000 300 1340101 1463847 1670647 3542967 1484823.775 116089.396
100 20 2000 300 378239 410311 460027 1366431 421783.727 64061.663
100 40 2000 300 697940 778434 837404 1306168 779344.913 44061.821
100 60 2000 300 1020609 1109494 1161814 1993203 1115473.211 48232.534
100 80 2000 300 1342356 1461025 1697440 2902009 1486741.925 101292.113
100 100 2000 300 1669022 1803462 2034768 4270151 1835281.380 137692.760
