nsp tsp samples warmup tspa_MulP_p50_ns tspa_OPRF_finalize_p50_ns tspa_OPRF_eval_full_p50_ns tspa_MulP_plus_finalize_p50_ns upspa_MulP_p50_ns upspa_AddP_p50_ns upspa_InvS_p50_ns upspa_OPRF_finalize_p50_ns upspa_TOPRF_measured_p50_ns upspa_TOPRF_pred_p50_ns toprf_measured_over_pred
20 4 2000 300 25096 3704 27458 28800 25132 167 10267 27992 155445 189719 0.819343
20 8 2000 300 25140 3723 29177 28863 24568 169 10265 27962 249960 285259 0.876256
20 12 2000 300 25949 4022 29265 29971 25143 173 10284 29225 351134 393587 0.892138
20 16 2000 300 25145 4038 29304 29183 24113 165 10265 27950 446733 474889 0.940710
20 20 2000 300 25227 4027 29345 29254 25203 173 11213 30112 542996 599251 0.906124
40 8 2000 300 25268 4061 29305 29329 25164 173 11186 27971 255722 292181 0.875218
40 16 2000 300 25222 4055 29202 29277 25158 165 11207 29207 437347 495898 0.881929
40 24 2000 300 25136 4024 29334 29160 24561 166 10283 27973 624319 680826 0.917002
40 32 2000 300 25186 3718 30054 28904 24159 168 10267 27987 811659 865036 0.938295
40 40 2000 300 26018 3718 29303 29736 24587 165 11207 28063 1002654 1078524 0.929654
60 12 2000 300 25195 4036 29340 29231 24547 170 10266 27977 351381 383941 0.915195
60 24 2000 300 26126 4058 29350 30184 25203 172 11199 27969 624170 698574 0.893492
60 36 2000 300 25237 3711 29360 28948 24648 169 10270 28604 906517 981582 0.923527
60 48 2000 300 25186 4044 29938 29230 24691 169 10269 28601 1212438 1281532 0.946085
60 60 2000 300 26001 3904 30120 29905 25174 173 10279 29190 1465919 1610637 0.910149
80 16 2000 300 25250 4052 30133 29302 24548 169 10267 27997 448308 482832 0.928497
80 32 2000 300 26051 4051 30224 30102 26076 172 10293 29215 830286 931596 0.891251
80 48 2000 300 26085 3851 30202 29936 25394 171 11219 28743 1213045 1317870 0.920459
80 64 2000 300 25186 3865 30089 29051 25454 170 11203 28649 1595701 1730696 0.922000
80 80 2000 300 25219 4040 29317 29259 25239 173 10267 28750 1940989 2122455 0.914502
100 20 2000 300 25176 4052 29308 29228 25129 172 11221 28562 531106 596061 0.891026
100 40 2000 300 25180 3715 30111 28895 25210 172 10274 28574 998798 1104548 0.904259
100 60 2000 300 26006 4035 29289 30041 25179 173 11211 28002 1466984 1610691 0.910779
100 80 2000 300 25277 4049 29338 29326 25099 165 11216 28014 1934119 2110548 0.916406
100 100 2000 300 25946 4051 29200 29997 25234 164 10266 28013 2402182 2628547 0.913882
