nsp tsp samples warmup tspa_oprf_eval_full_p50_ns tspa_t_mul_oprf_eval_full_p50_ns upspa_toprf_measured_p50_ns upspa_toprf_pred_p50_ns ratio_tspa_over_upspa_measured
20 4 2000 300 27066 108264 153822 177177 0.703827
20 8 2000 300 27572 220576 246523 273935 0.894748
20 12 2000 300 27664 331968 346824 371132 0.957166
20 16 2000 300 27677 442832 431548 466193 1.026148
20 20 2000 300 27581 551620 524243 558174 1.052222
40 8 2000 300 27670 221360 252012 275838 0.878371
40 16 2000 300 27638 442208 441790 464637 1.000946
40 24 2000 300 27658 663792 631332 654347 1.051415
40 32 2000 300 27651 884832 809741 843612 1.092735
40 40 2000 300 27039 1081560 987293 1035590 1.095480
60 12 2000 300 27586 331032 339204 369056 0.975908
60 24 2000 300 27639 663336 619267 654186 1.071163
60 36 2000 300 27636 994896 894736 939668 1.111944
60 48 2000 300 39305 1886640 1172522 1222821 1.609044
60 60 2000 300 27662 1659720 1450515 1505657 1.144228
80 16 2000 300 27625 442000 431814 465232 1.023589
80 32 2000 300 27655 884960 808178 845008 1.095006
80 48 2000 300 27652 1327296 1176795 1223201 1.127891
80 64 2000 300 27658 1770112 1543078 1603404 1.147131
80 80 2000 300 27644 2211520 1913512 1983699 1.155739
100 20 2000 300 27678 553560 535943 559826 1.032871
100 40 2000 300 27641 1105640 993879 1035228 1.112449
100 60 2000 300 27627 1657620 1451204 1508807 1.142238
100 80 2000 300 27648 2211840 1914126 1983225 1.155535
100 100 2000 300 27624 2762400 2375910 2455129 1.162670
