scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa proto reg 0 20 4 2000 300 160857 168498 176264 213818 170473.924 4118.986
upspa proto auth 0 20 4 2000 300 166585 174862 183631 259219 177215.116 6397.466
upspa proto secupd 0 20 4 2000 300 167303 175374 192229 338088 181453.720 20996.505
upspa proto pwdupd 0 20 4 2000 300 498097 524002 548014 662730 526223.767 12186.203
upspa formula auth 0 20 4 2000 300 166154 173785 181174 222817 175296.522 3450.773
upspa prim TOPRF_client_eval 0 20 4 2000 300 146930 153721 161866 205969 155733.483 4837.019
upspa prim AEAD_DEC_cipherid 0 20 4 2000 300 1510 1531 1907 8486 1567.318 188.978
upspa prim AEAD_DEC_ciphersp 0 20 4 2000 300 1439 1473 1508 5512 1479.255 96.614
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 4 2000 300 1427 1452 1834 5532 1551.043 180.897
upspa prim HASH_suid 0 20 4 2000 300 90 94 138 321 108.258 22.466
upspa prim HASH_vinfo 0 20 4 2000 300 82 86 125 281 98.698 20.660
tspa proto reg 0 20 4 2000 300 517265 549702 566450 801569 549262.574 12949.499
tspa proto auth 0 20 4 2000 300 141070 147641 154575 194686 149557.674 3893.881
tspa prim HASH_storuid 0 20 4 2000 300 83 86 88 2538 87.543 54.960
tspa prim HASH_vinfo 0 20 4 2000 300 78 81 84 1072 82.081 22.404
tspa prim OPRF_finalize 0 20 4 2000 300 3662 3719 3806 6719 3740.396 127.927
tspa prim OPRF_eval_full 0 20 4 2000 300 26293 26925 27065 72199 26790.679 1166.389
tspa prim MulP_point_scalar 0 20 4 2000 300 22406 22993 23538 33041 23018.554 517.056
tspa prim InvS_scalar_invert 0 20 4 2000 300 10204 10254 10304 14065 10281.907 185.403
tspa prim FieldOp_mul_add 0 20 4 2000 300 108 112 114 133 111.980 1.555
tspa prim AES256CTR_xor_32 0 20 4 2000 300 100 103 104 116 103.275 1.573
tspa prim PolyEval_degree_t_minus_1 0 20 4 2000 300 395 404 410 1711 404.803 29.436
upspa proto reg 0 20 8 2000 300 246813 263998 279078 469222 265987.716 16631.573
upspa proto auth 0 20 8 2000 300 250173 267580 279132 394792 267466.344 9941.437
upspa proto secupd 0 20 8 2000 300 259190 272943 283554 340899 274477.119 5042.541
upspa proto pwdupd 0 20 8 2000 300 601212 630081 662206 1025281 635916.241 23105.695
upspa formula auth 0 20 8 2000 300 249356 262632 273196 490128 265699.549 15206.295
upspa prim TOPRF_client_eval 0 20 8 2000 300 233717 249260 256046 454505 248247.117 7684.192
upspa prim AEAD_DEC_cipherid 0 20 8 2000 300 1409 1441 1499 2801 1452.599 49.877
upspa prim AEAD_DEC_ciphersp 0 20 8 2000 300 1318 1367 1396 2690 1366.997 34.840
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 8 2000 300 1304 1323 1337 1365 1322.998 7.453
upspa prim HASH_suid 0 20 8 2000 300 82 85 98 110 85.598 3.754
upspa prim HASH_vinfo 0 20 8 2000 300 75 77 80 107 78.230 3.832
tspa proto reg 0 20 8 2000 300 525140 560801 575411 1005026 560244.244 25699.459
tspa proto auth 0 20 8 2000 300 249066 260359 282969 464929 265471.767 14760.415
tspa prim HASH_storuid 0 20 8 2000 300 79 82 84 117 82.433 3.684
tspa prim HASH_vinfo 0 20 8 2000 300 78 81 84 116 81.677 3.902
tspa prim OPRF_finalize 0 20 8 2000 300 3670 3733 3903 5808 3769.915 115.616
tspa prim OPRF_eval_full 0 20 8 2000 300 26267 26475 27060 48935 26734.594 637.908
tspa prim MulP_point_scalar 0 20 8 2000 300 22399 22988 23077 27625 22994.040 347.439
tspa prim InvS_scalar_invert 0 20 8 2000 300 10207 10270 10501 14667 10318.471 233.598
tspa prim FieldOp_mul_add 0 20 8 2000 300 108 113 115 139 112.690 1.674
tspa prim AES256CTR_xor_32 0 20 8 2000 300 102 113 114 115 113.162 1.156
tspa prim PolyEval_degree_t_minus_1 0 20 8 2000 300 777 793 802 817 793.079 5.393
upspa proto reg 0 20 12 2000 300 332873 356082 379604 709522 358969.639 21803.387
upspa proto auth 0 20 12 2000 300 335383 358254 367105 664390 357293.408 18232.868
upspa proto secupd 0 20 12 2000 300 351144 374990 384507 510286 373095.099 8326.392
upspa proto pwdupd 0 20 12 2000 300 702922 736258 769902 977661 742050.508 14770.996
upspa formula auth 0 20 12 2000 300 333987 356886 370491 665441 360674.381 36067.571
upspa prim TOPRF_client_eval 0 20 12 2000 300 320621 341686 351563 648358 341745.264 19022.234
upspa prim AEAD_DEC_cipherid 0 20 12 2000 300 1413 1461 1507 2921 1469.567 103.641
upspa prim AEAD_DEC_ciphersp 0 20 12 2000 300 1317 1369 1399 2715 1370.283 34.943
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 12 2000 300 1302 1323 1336 2433 1323.769 25.842
upspa prim HASH_suid 0 20 12 2000 300 81 84 97 102 84.588 3.533
upspa prim HASH_vinfo 0 20 12 2000 300 75 77 79 104 77.787 3.109
tspa proto reg 0 20 12 2000 300 532914 569402 583453 1023137 567661.733 17639.360
tspa proto auth 0 20 12 2000 300 356618 375232 385718 526298 377304.755 6508.898
tspa prim HASH_storuid 0 20 12 2000 300 81 84 85 108 84.137 2.845
tspa prim HASH_vinfo 0 20 12 2000 300 80 83 85 108 83.738 3.337
tspa prim OPRF_finalize 0 20 12 2000 300 3670 3737 3891 5161 3765.106 85.313
tspa prim OPRF_eval_full 0 20 12 2000 300 26270 26934 27054 33461 26743.875 430.963
tspa prim MulP_point_scalar 0 20 12 2000 300 22408 22988 23051 26122 22981.460 163.593
tspa prim InvS_scalar_invert 0 20 12 2000 300 10195 10270 10455 16022 10290.217 170.252
tspa prim FieldOp_mul_add 0 20 12 2000 300 108 112 114 136 111.853 1.396
tspa prim AES256CTR_xor_32 0 20 12 2000 300 101 112 114 117 108.066 5.213
tspa prim PolyEval_degree_t_minus_1 0 20 12 2000 300 1161 1181 1193 3071 1182.293 42.796
upspa proto reg 0 20 16 2000 300 418736 447787 464820 842721 448304.513 18124.739
upspa proto auth 0 20 16 2000 300 421626 450331 461963 554488 448343.947 11205.341
upspa proto secupd 0 20 16 2000 300 443355 468134 485145 794139 470328.304 14220.301
upspa proto pwdupd 0 20 16 2000 300 803650 841948 876382 1172898 847964.309 16205.065
upspa formula auth 0 20 16 2000 300 419911 448179 459483 528101 445635.475 7719.937
upspa prim TOPRF_client_eval 0 20 16 2000 300 407613 435159 446826 801505 434341.110 22733.355
upspa prim AEAD_DEC_cipherid 0 20 16 2000 300 1411 1457 1502 2818 1457.230 57.060
