scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa proto reg 0 20 4 2000 300 161333 172349 179633 265370 173629.673 6583.050
upspa proto auth 0 20 4 2000 300 166067 177753 186031 286937 178907.598 7884.774
upspa proto secupd 0 20 4 2000 300 167249 179074 224739 344875 185281.126 21632.855
upspa proto pwdupd 0 20 4 2000 300 499372 527640 560349 1037060 532564.299 18418.940
upspa formula auth 0 20 4 2000 300 167050 177817 186790 270011 178482.150 5509.902
upspa prim TOPRF_client_eval 0 20 4 2000 300 176333 184506 196912 256961 186414.854 6558.475
upspa prim AEAD_DEC_cipherid 0 20 4 2000 300 1413 1433 1528 3692 1447.361 78.657
upspa prim AEAD_DEC_ciphersp 0 20 4 2000 300 1320 1366 1479 2891 1387.702 138.827
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 4 2000 300 1307 1326 1340 26979 1344.274 586.354
upspa prim HASH_suid 0 20 4 2000 300 81 84 97 105 84.751 3.626
upspa prim HASH_vinfo 0 20 4 2000 300 75 78 79 100 78.072 2.971
tspa proto reg 0 20 4 2000 300 574185 600514 634718 713269 606665.145 14806.265
tspa proto auth 0 20 4 2000 300 133521 142817 149133 230989 143313.616 6797.946
tspa prim HASH_storuid 0 20 4 2000 300 79 83 85 119 83.219 3.244
tspa prim HASH_vinfo 0 20 4 2000 300 78 82 85 112 82.543 3.813
tspa prim OPRF_finalize 0 20 4 2000 300 3668 3766 4077 21384 3831.906 441.345
tspa prim OPRF_eval_full 0 20 4 2000 300 31266 32742 35374 54831 32976.376 1718.500
tspa prim MulP_point_scalar 0 20 4 2000 300 27564 28899 31311 49006 29348.940 1686.488
tspa prim InvS_scalar_invert 0 20 4 2000 300 10288 10353 10559 25879 10434.010 596.080
tspa prim FieldOp_mul_add 0 20 4 2000 300 109 113 116 131 113.371 1.670
tspa prim AES256CTR_xor_32 0 20 4 2000 300 104 115 116 119 112.642 4.206
tspa prim PolyEval_degree_t_minus_1 0 20 4 2000 300 397 407 412 427 406.961 3.501
upspa proto reg 0 20 8 2000 300 247654 264585 273645 324878 265356.189 6332.978
upspa proto auth 0 20 8 2000 300 249855 267128 280594 453776 269859.542 15294.175
upspa proto secupd 0 20 8 2000 300 259035 277118 287554 329421 277835.407 6731.625
upspa proto pwdupd 0 20 8 2000 300 604421 637452 676642 917872 643754.073 18392.433
upspa formula auth 0 20 8 2000 300 249836 267101 280410 527198 268799.590 11960.471
upspa prim TOPRF_client_eval 0 20 8 2000 300 289155 302418 320057 391898 305225.154 8277.553
upspa prim AEAD_DEC_cipherid 0 20 8 2000 300 1413 1455 1533 2989 1464.610 96.741
upspa prim AEAD_DEC_ciphersp 0 20 8 2000 300 1317 1345 1374 2651 1347.591 32.526
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 8 2000 300 1307 1327 1351 2923 1334.259 62.303
upspa prim HASH_suid 0 20 8 2000 300 81 84 98 106 84.650 3.867
upspa prim HASH_vinfo 0 20 8 2000 300 75 77 80 99 77.948 3.318
tspa proto reg 0 20 8 2000 300 581945 608664 643420 679154 615099.669 14908.042
tspa proto auth 0 20 8 2000 300 235246 251488 264571 328153 251840.179 7452.549
tspa prim HASH_storuid 0 20 8 2000 300 79 83 97 106 83.751 4.252
tspa prim HASH_vinfo 0 20 8 2000 300 78 82 94 105 82.924 3.849
tspa prim OPRF_finalize 0 20 8 2000 300 3659 3741 4076 21297 3822.177 453.506
tspa prim OPRF_eval_full 0 20 8 2000 300 31277 32755 35373 56154 33074.848 1610.275
tspa prim MulP_point_scalar 0 20 8 2000 300 28175 28898 31258 52326 29251.956 1532.978
