scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
upspa proto reg 0 20 4 2000 300 116518 123059 142927 288568 126506.766 11954.051
upspa proto auth 0 20 4 2000 300 121272 132750 155060 656069 135666.290 24491.618
upspa proto secupd 0 20 4 2000 300 119548 129050 145976 331347 131902.496 12401.948
upspa proto pwdupd 0 20 4 2000 300 325352 355687 406529 819634 361759.760 31172.777
upspa formula auth 0 20 4 2000 300 121233 133215 162760 431322 136938.677 17050.605
upspa prim TOPRF_client_eval 0 20 4 2000 300 102944 112977 130209 394150 115345.814 13190.872
upspa prim AEAD_DEC_cipherid 0 20 4 2000 300 1008 1108 1208 6556 1090.207 163.835
upspa prim AEAD_DEC_ciphersp 0 20 4 2000 300 961 973 1069 7410 1013.149 207.724
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 20 4 2000 300 956 965 973 5863 971.308 118.794
upspa prim HASH_suid 0 20 4 2000 300 72 74 76 4650 76.672 102.402
upspa prim HASH_vinfo 0 20 4 2000 300 66 68 70 101 68.679 1.600
tspa proto reg 0 20 4 2000 300 368133 395315 442008 755021 400600.023 29297.031
tspa proto auth 0 20 4 2000 300 95039 106093 117921 310266 106249.818 11858.047
tspa prim HASH_storuid 0 20 4 2000 300 74 76 78 2942 79.547 88.224
tspa prim HASH_vinfo 0 20 4 2000 300 73 76 77 6547 79.108 144.746
tspa prim OPRF_finalize 0 20 4 2000 300 2414 2660 2761 8686 2671.271 288.181
tspa prim OPRF_eval_full 0 20 4 2000 300 20269 21939 26170 97257 22453.878 2834.943
tspa prim MulP_point_scalar 0 20 4 2000 300 17869 18931 22337 60124 19559.618 2161.149
tspa prim InvS_scalar_invert 0 20 4 2000 300 6531 6682 7921 42037 7049.431 1207.148
tspa prim FieldOp_mul_add 0 20 4 2000 300 73 82 84 653 82.356 14.051
tspa prim AES256CTR_xor_32 0 20 4 2000 300 86 89 94 25334 108.968 619.061
tspa prim PolyEval_degree_t_minus_1 0 20 4 2000 300 273 292 324 69297 329.501 1543.243
